ID,NAN,ED,LA,O,D,SL
0,999,0,184,13,14,10
1,999,0,184,13,14,10
2,999,0,184,13,14,10
3,999,0,184,13,14,10
4,999,0,184,13,3,10
5,999,0,184,13,18,10
6,999,0,184,13,18,10
7,999,0,184,13,23,10
8,999,0,184,13,32,10
9,999,0,184,14,3,10
10,999,0,184,14,3,10
11,999,0,184,14,3,10
12,999,0,184,14,18,10
13,999,0,184,14,18,10
14,999,0,184,14,6,10
15,999,0,184,14,22,10
16,999,0,184,14,27,10
17,999,0,184,14,32,10
18,999,0,184,14,34,10
19,999,0,184,4,6,10
20,999,0,184,4,6,10
21,999,0,184,4,6,10
22,999,0,184,4,6,10
23,999,0,184,4,6,10
24,999,0,184,4,6,10
25,999,0,184,4,9,10
26,999,0,184,4,9,10
27,999,0,184,4,9,10
28,999,0,184,4,22,10
29,999,0,184,4,2,10
30,999,0,184,4,23,10
31,999,0,184,4,23,10
32,999,0,184,4,23,10
33,999,0,184,4,23,10
34,999,0,184,4,23,10
35,999,0,184,3,14,10
36,999,0,184,3,14,10
37,999,0,184,3,14,10
38,999,0,184,3,17,10
39,999,0,184,3,23,10
40,999,0,184,3,11,10
41,999,0,184,3,11,10
42,999,0,184,3,11,10
43,999,0,184,3,27,10
44,999,0,184,15,3,10
45,999,0,184,15,3,10
46,999,0,184,15,3,10
47,999,0,184,15,3,10
48,999,0,184,15,3,10
49,999,0,184,15,23,10
50,999,0,184,15,31,10
51,999,0,184,15,33,10
52,999,0,184,15,35,10
53,999,0,184,7,10,10
54,999,0,184,7,19,10
55,999,0,184,7,19,10
56,999,0,184,7,19,10
57,999,0,184,7,19,10
58,999,0,184,7,19,10
59,999,0,184,7,19,10
60,999,0,184,7,19,10
61,999,0,184,7,19,10
62,999,0,184,7,6,10
63,999,0,184,7,6,10
64,999,0,184,7,6,10
65,999,0,184,7,6,10
66,999,0,184,7,6,10
67,999,0,184,7,6,10
68,999,0,184,7,6,10
69,999,0,184,7,27,10
70,999,0,184,7,27,10
71,999,0,184,7,31,10
72,999,0,184,7,31,10
73,999,0,184,7,31,10
74,999,0,184,7,31,10
75,999,0,184,7,37,10
76,999,0,184,7,37,10
77,999,0,184,7,37,10
78,999,0,184,16,22,10
79,999,0,184,16,22,10
80,999,0,184,16,8,10
81,999,0,184,16,8,10
82,999,0,184,16,8,10
83,999,0,184,16,8,10
84,999,0,184,16,8,10
85,999,0,184,16,8,10
86,999,0,184,16,8,10
87,999,0,184,16,8,10
88,999,0,184,16,8,10
89,999,0,184,16,8,10
90,999,0,184,17,3,10
91,999,0,184,17,3,10
92,999,0,184,17,3,10
93,999,0,184,17,3,10
94,999,0,184,17,3,10
95,999,0,184,17,3,10
96,999,0,184,17,3,10
97,999,0,184,17,3,10
98,999,0,184,17,3,10
99,999,0,184,17,3,10
100,999,0,184,18,4,10
101,999,0,184,18,4,10
102,999,0,184,18,4,10
103,999,0,184,18,4,10
104,999,0,184,18,4,10
105,999,0,184,18,4,10
106,999,0,184,18,4,10
107,999,0,184,18,4,10
108,999,0,184,18,4,10
109,999,0,184,18,4,10
110,999,0,184,18,3,10
111,999,0,184,18,3,10
112,999,0,184,18,3,10
113,999,0,184,18,27,10
114,999,0,184,18,32,10
115,999,0,184,5,6,10
116,999,0,184,5,9,10
117,999,0,184,5,9,10
118,999,0,184,5,9,10
119,999,0,184,5,9,10
120,999,0,184,5,9,10
121,999,0,184,5,9,10
122,999,0,184,5,9,10
123,999,0,184,5,9,10
124,999,0,184,5,2,10
125,999,0,184,5,2,10
126,999,0,184,5,2,10
127,999,0,184,5,2,10
128,999,0,184,5,2,10
129,999,0,184,5,2,10
130,999,0,184,5,2,10
131,999,0,184,5,2,10
132,999,0,184,5,2,10
133,999,0,184,5,2,10
134,999,0,184,5,2,10
135,999,0,184,5,23,10
136,999,0,184,5,23,10
137,999,0,184,5,23,10
138,999,0,184,5,23,10
139,999,0,184,5,23,10
140,999,0,184,5,23,10
141,999,0,184,5,26,10
142,999,0,184,5,26,10
143,999,0,184,5,26,10
144,999,0,184,5,26,10
145,999,0,184,5,26,10
146,999,0,184,5,26,10
147,999,0,184,5,26,10
148,999,0,184,5,26,10
149,999,0,184,5,26,10
150,999,0,184,5,26,10
151,999,0,184,5,26,10
152,999,0,184,5,26,10
153,999,0,184,5,26,10
154,999,0,184,5,26,10
155,999,0,184,10,31,10
156,999,0,184,10,31,10
157,999,0,184,10,31,10
158,999,0,184,10,31,10
159,999,0,184,10,31,10
160,999,0,184,10,31,10
161,999,0,184,10,31,10
162,999,0,184,10,34,10
163,999,0,184,10,34,10
164,999,0,184,10,34,10
165,999,0,184,10,34,10
166,999,0,184,10,34,10
