ID,NAN,ED,LA,O,D,SL
0,999,0,184,17,21,10
1,999,0,184,17,21,10
2,999,0,184,17,21,10
3,999,0,184,17,21,10
4,999,0,184,17,21,10
5,999,0,184,17,21,10
6,999,0,184,17,21,10
7,999,0,184,17,21,10
8,999,0,184,17,21,10
9,999,0,184,17,21,10
10,999,0,184,11,21,10
11,999,0,184,11,21,10
12,999,0,184,11,21,10
13,999,0,184,11,21,10
14,999,0,184,11,21,10
15,999,0,184,11,21,10
16,999,0,184,14,1,10
17,999,0,184,14,1,10
18,999,0,184,14,1,10
19,999,0,184,14,1,10
20,999,0,184,14,1,10
21,999,0,184,14,1,10
22,999,0,184,14,1,10
23,999,0,184,14,1,10
24,999,0,184,14,1,10
25,999,0,184,14,1,10
26,999,0,184,21,1,10
27,999,0,184,21,1,10
28,999,0,184,21,1,10
29,999,0,184,21,1,10
30,999,0,184,21,1,10
31,999,0,184,21,1,10
32,999,0,184,21,1,10
33,999,0,184,21,1,10
34,999,0,184,21,1,10
35,999,0,184,21,1,10
36,999,0,184,21,1,10
37,999,0,184,21,1,10
38,999,0,184,21,1,10
39,999,0,184,21,1,10
40,999,0,184,21,1,10
41,999,0,184,21,1,10
42,999,0,184,21,1,10
43,999,0,184,21,1,10
44,999,0,184,21,1,10
45,999,0,184,21,1,10
46,999,0,184,21,1,10
47,999,0,184,21,1,10
48,999,0,184,3,1,10
49,999,0,184,3,1,10
50,999,0,184,3,1,10
51,999,0,184,3,1,10
52,999,0,184,3,1,10
53,999,0,184,3,1,10
54,999,0,184,3,1,10
55,999,0,184,3,1,10
56,999,0,184,3,1,10
57,999,0,184,3,1,10
58,999,0,184,3,1,10
59,999,0,184,3,1,10
60,999,0,184,3,1,10
61,999,0,184,3,1,10
62,999,0,184,3,1,10
63,999,0,184,3,1,10
64,999,0,184,3,1,10
65,999,0,184,3,1,10
66,999,0,184,3,1,10
67,999,0,184,3,1,10
68,999,0,184,3,1,10
69,999,0,184,3,1,10
70,999,0,184,13,1,10
71,999,0,184,13,1,10
72,999,0,184,13,1,10
73,999,0,184,13,1,10
74,999,0,184,13,1,10
75,999,0,184,13,1,10
76,999,0,184,13,1,10
77,999,0,184,13,1,10
78,999,0,184,13,1,10
79,999,0,184,13,1,10
80,999,0,184,13,1,10
81,999,0,184,13,1,10
82,999,0,184,13,1,10
83,999,0,184,11,1,10
84,999,0,184,11,1,10
85,999,0,184,11,1,10
86,999,0,184,11,1,10
87,999,0,184,11,1,10
88,999,0,184,11,1,10
89,999,0,184,11,1,10
90,999,0,184,11,1,10
91,999,0,184,11,1,10
92,999,0,184,11,1,10
93,999,0,184,11,1,10
94,999,0,184,23,3,10
95,999,0,184,23,3,10
96,999,0,184,23,3,10
97,999,0,184,23,3,10
98,999,0,184,23,3,10
99,999,0,184,23,3,10
100,999,0,184,23,1,10
101,999,0,184,23,1,10
102,999,0,184,23,1,10
103,999,0,184,23,1,10
104,999,0,184,23,1,10
105,999,0,184,23,1,10
106,999,0,184,23,1,10
107,999,0,184,23,1,10
108,999,0,184,23,1,10
109,999,0,184,23,1,10
110,999,0,184,23,1,10
111,999,0,184,23,1,10
112,999,0,184,23,1,10
113,999,0,184,23,1,10
114,999,0,184,23,1,10
115,999,0,184,23,1,10
116,999,0,184,23,1,10
117,999,0,184,14,13,10
118,999,0,184,1,21,10
119,999,0,184,1,21,10
120,999,0,184,1,21,10
121,999,0,184,1,21,10
122,999,0,184,1,21,10
123,999,0,184,1,21,10
124,999,0,184,1,21,10
125,999,0,184,1,21,10
126,999,0,184,1,21,10
127,999,0,184,1,21,10
128,999,0,184,1,21,10
129,999,0,184,3,21,10
130,999,0,184,3,21,10
131,999,0,184,3,21,10
132,999,0,184,3,21,10
133,999,0,184,3,21,10
134,999,0,184,3,21,10
135,999,0,184,3,21,10
136,999,0,184,23,13,10
137,999,0,184,23,13,10
138,999,0,184,23,13,10
139,999,0,184,23,13,10
140,999,0,184,23,13,10
141,999,0,184,8,1,10
142,999,0,184,8,1,10
143,999,0,184,8,1,10
144,999,0,184,8,1,10
145,999,0,184,8,1,10
146,999,0,184,8,1,10
147,999,0,184,8,1,10
148,999,0,184,8,1,10
149,999,0,184,8,1,10
150,999,0,184,8,1,10
151,999,0,184,8,1,10
152,999,0,184,8,1,10
153,999,0,184,8,1,10
154,999,0,184,21,13,10
155,999,0,184,21,13,10
156,999,0,184,21,13,10
157,999,0,184,21,13,10
158,999,0,184,21,13,10
159,999,0,184,18,1,10
160,999,0,184,18,1,10
161,999,0,184,21,3,10
162,999,0,184,21,3,10
163,999,0,184,21,3,10
164,999,0,184,21,3,10
165,999,0,184,21,3,10
166,999,0,184,17,13,10
167,999,0,184,17,13,10
168,999,0,184,17,13,10
169,999,0,184,17,13,10
170,999,0,184,17,13,10
171,999,0,184,17,13,10
172,999,0,184,20,23,10
173,999,0,184,20,23,10
174,999,0,184,20,23,10
175,999,0,184,17,1,10
176,999,0,184,17,1,10
177,999,0,184,17,1,10
178,999,0,184,17,1,10
179,999,0,184,17,1,10
180,999,0,184,17,1,10
181,999,0,184,20,3,10
182,999,0,184,23,21,10
183,999,0,184,23,21,10
184,999,0,184,23,21,10
185,999,0,184,23,21,10
186,999,0,184,23,21,10
187,999,0,184,23,21,10
188,999,0,184,23,21,10
189,999,0,184,23,21,10
190,999,0,184,23,21,10
191,999,0,184,23,21,10
192,999,0,184,3,13,10
193,999,0,184,3,13,10
194,999,0,184,3,13,10
195,999,0,184,3,13,10
196,999,0,184,3,13,10
197,999,0,184,1,13,10
198,999,0,184,1,13,10
199,999,0,184,1,13,10
200,999,0,184,1,13,10
201,999,0,184,1,13,10
202,999,0,184,10,21,10
203,999,0,184,10,21,10
204,999,0,184,10,21,10
205,999,0,184,6,1,10
206,999,0,184,6,1,10
207,999,0,184,6,1,10
208,999,0,184,6,1,10
209,999,0,184,6,1,10
210,999,0,184,6,1,10
211,999,0,184,6,1,10
212,999,0,184,6,1,10
213,999,0,184,5,1,10
214,999,0,184,5,1,10
215,999,0,184,5,1,10
216,999,0,184,5,1,10
217,999,0,184,5,1,10
218,999,0,184,5,1,10
219,999,0,184,5,1,10
220,999,0,184,5,1,10
221,999,0,184,8,21,10
222,999,0,184,8,21,10
223,999,0,184,8,21,10
224,999,0,184,22,1,10
225,999,0,184,22,1,10
226,999,0,184,14,21,10
227,999,0,184,14,21,10
228,999,0,184,14,21,10
229,999,0,184,6,13,10
230,999,0,184,22,23,10
231,999,0,184,19,13,10
232,999,0,184,21,23,10
233,999,0,184,21,5,10
234,999,0,184,8,13,10
235,999,0,184,8,13,10
236,999,0,184,8,13,10
237,999,0,184,5,21,10
238,999,0,184,5,21,10
239,999,0,184,18,13,10
240,999,0,184,20,13,10
241,999,0,184,20,1,10
242,999,0,184,20,1,10
243,999,0,184,20,1,10
244,999,0,184,20,1,10
245,999,0,184,19,21,10
246,999,0,184,19,21,10
247,999,0,184,19,21,10
248,999,0,184,1,3,10
249,999,0,184,1,3,10
250,999,0,184,24,21,10
251,999,0,184,24,21,10
252,999,0,184,24,21,10
253,999,0,184,24,1,10
254,999,0,184,24,1,10
255,999,0,184,21,17,10
256,999,0,184,24,13,10
257,999,0,184,20,21,10
258,999,0,184,20,21,10
259,999,0,184,20,21,10
260,999,0,184,19,1,10
261,999,0,184,19,1,10
262,999,0,184,19,1,10
263,999,0,184,6,21,10
264,999,0,184,6,21,10
265,999,0,184,13,21,10
266,999,0,184,13,21,10
267,999,0,184,3,23,10
268,999,0,184,10,1,10
269,999,0,184,10,1,10
270,999,0,184,10,1,10
271,999,0,184,10,1,10
272,999,0,184,13,3,10
273,999,0,184,11,13,10
274,999,0,184,11,13,10
275,999,0,184,21,18,10
276,999,0,184,18,21,10
277,999,0,184,11,23,10
278,999,0,184,23,18,10
